Category,Description,Rate,Count of Students
Participated in AP course,Participated in AP course,0.45,29891
Participated in AP course,Did not Participate in AP course,0.55,36677
Enrolled in College,Participate in AP Course and Enrolled in College,0.86,25680
Enrolled in College,Did not Participate in AP Course and Enrolled in College,0.56,20490
Remained in College,Participated in AP Course and Remained in College after 1 year,0.80,23984
Remained in College,Did not Participate in AP Course and Remaine in College after 1 year,0.44,16053
