Number of Courses Failed,4-Year Graduate Student Count - Failed any Course(s),4-Year Graduate Student Count - Failed Core Course(s),4-Year Graduation Rate Failed any Course(s),4-Year Graduation Rate Failed Core Course(s)
1,5209,4555,0.82,0.77
2,2463,2177,0.7,0.61
3,1500,1370,0.54,0.43
>=4,3645,1980,0.37,0.23
