Category,Description,Rate,Count of Students
Participated in Algebra II,Passed Algebra II,0.72,47532
Participated in Algebra II,Did not Take/Failed Algebra II,0.28,18338
Enrolled in College,Passed Algebra II and Enrolled in College,0.77,36466
Enrolled in College,Did not Take/Failed Algebra II and Enrolled in College,0.49,9024
Remained in College,Passed Algebra II and Remained in College after 1 year,0.68,32508
Remained in College,Did not Take/Failed Algebra II and Remained in College after 1 year,0.38,7036
